0,math,math
1,math,math
2,math,math
3,math,math
4,cs,cs
5,math,math
6,math,math
7,cs,math
8,physics,physics
9,cs,cs
10,math,math
11,stat,stat
12,cs,cs
13,physics,cs
14,cs,cs
15,math,math
16,cs,cs
17,math,math
18,cs,cs
19,stat,stat
20,cs,cs
21,math,math
22,math,math
23,math,math
24,cs,cs
25,physics,physics
26,math,math
27,math,math
28,physics,cs
29,cs,cs
30,cs,cs
31,stat,stat
32,math,math
33,physics,physics
34,math,math
35,math,math
36,stat,stat
37,cs,cs
38,cs,cs
39,math,math
40,physics,physics
41,stat,stat
42,physics,physics
43,math,math
44,math,math
45,physics,physics
46,math,math
47,cs,cs
48,stat,stat
49,physics,physics
50,stat,stat
51,cs,cs
52,physics,physics
53,cs,cs
54,physics,physics
55,math,math
56,physics,math
57,stat,stat
58,math,math
59,cs,cs
60,cs,cs
61,stat,stat
62,cs,cs
63,math,math
64,physics,physics
65,cs,cs
66,stat,stat
67,math,math
68,cs,cs
69,cs,cs
70,cs,cs
71,physics,physics
72,stat,stat
73,cs,cs
74,physics,stat
75,cs,cs
76,cs,cs
77,physics,physics
78,physics,physics
79,physics,physics
80,math,math
81,cs,cs
82,physics,physics
83,cs,cs
84,physics,physics
85,cs,cs
86,cs,cs
87,physics,physics
88,physics,physics
89,physics,physics
90,stat,stat
91,math,math
92,math,math
93,cs,cs
94,math,math
95,stat,stat
96,physics,physics
97,cs,cs
98,physics,physics
99,math,math
100,math,math
101,physics,physics
102,cs,cs
103,cs,cs
104,math,math
105,stat,stat
106,math,math
107,stat,stat
108,cs,cs
109,cs,cs
110,cs,math
111,math,math
112,physics,physics
113,math,math
114,math,math
115,cs,cs
116,physics,physics
117,cs,cs
118,math,math
119,cs,cs
120,math,math
121,physics,physics
122,stat,stat
123,cs,cs
124,physics,physics
125,cs,cs
126,physics,cs
127,stat,cs
128,physics,physics
129,physics,physics
130,math,math
131,stat,stat
132,math,math
133,math,cs
134,cs,cs
135,cs,physics
136,cs,cs
137,cs,cs
138,stat,stat
139,stat,stat
140,physics,physics
141,cs,cs
142,math,math
143,math,math
144,cs,cs
145,cs,cs
146,physics,physics
147,physics,physics
148,cs,cs
